nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,biography,birthday,deathday,tmdb_id,known_for_department,place_of_birth,popularity,profile_photo
nm0922799,Donald E. Westlake,1933.0,2008.0,"writer,actor,archive_footage","tt0099703,tt0120784,tt0814335,tt1904996","From Wikipedia, the free encyclopedia

Donald Edwin Westlake (July 12, 1933 – December 31, 2008) was an American writer, with over a hundred novels and non-fiction books to his credit. He specialized in crime fiction, especially comic capers, with an occasional foray into science fiction or other genres. He was a three-time Edgar Award winner, one of only two writers (the other is Joe Gores) to win Edgars in three different categories (1968, Best Novel, God Save the Mark; 1990, Best Short Story, ""Too Many Crooks""; 1991, Best Motion Picture Screenplay, The Grifters). In 1993, the Mystery Writers of America named Westlake a Grand Master, the highest honor bestowed by the society.

Description above from the Wikipedia article Donald E. Westlake, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1933-07-12,2008-12-31,21672.0,Writing,"Brooklyn, New York, USA",2.4157,https://image.tmdb.org/t/p/w500//kJ3jobYU4dRragBNsqeiUgu5j3u.jpg
nm0923941,René Wheeler,1912.0,2000.0,"writer,director,production_manager","tt0048021,tt0136603,tt0372824,tt0039234","René Wheeler (8 February 1912 - 11 December 2000) was a French screenwriter and film director. He co-wrote the story of the film A Cage of Nightingales (1945) with Georges Chaperot, for which they both received an Academy Award nomination in 1947. Their story would later serve as an inspiration for the hugely successful film The Chorus (2004). Wheeler also co-wrote the screenplay for the 1955 heist film Rififi.

Source: Article ""René Wheeler"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1912-02-08,2000-12-11,14229.0,Writing,"Paris, France",0.7327,https://i.ibb.co/x8tKqGZC/No-Image-500-750.png
nm0926723,Anne Wiazemsky,1947.0,2017.0,"actress,writer,director","tt0060138,tt0061473,tt0069178,tt0186159","Princess Anne Wiazemsky (14 May 1947 - 5 October 2017) was a French actress, of the Russian Rurikid family of Princes Vyazemsky-Counts Levashov. Through her mother, she is the granddaughter of François Mauriac. She appeared in Robert Bresson's Au hasard Balthazar (1966) and in Godard's films La Chinoise (1967) and Week End (1967). She was married to Jean-Luc Godard between 1967 and 1979; they divorced.

Wiazemsky is also an author. She has written several novels: Canines (1993), Une Poignée de Gens, Aux Quatre Coins du Monde and Hymnes à l’Amour (1996). The 2003 film All the Fine Promises, directed by Jean-Paul Civeyrac and starring Valérie Crunchant and Bulle Ogier, is based on Hymnes à l'Amour. Her 2007 novel, Jeune Fille, is based on her experience starring in Au hasard Balthazar at the age of 18.

Description above from the Wikipedia article Anne Wiazemsky, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1947-05-14,2017-10-05,18227.0,Acting,"Berlin, West Germany",1.2058,https://image.tmdb.org/t/p/w500//1YF6xvQQXHgED5vJKSFKTTis7Y6.jpg
nm0927907,Aurélien Wiik,1980.0,,"actor,producer,director","tt0814685,tt1421051,tt3659528,tt0220239","Aurélien Wiik (born 24 September 1980) is a French actor and filmmaker. He is the son of a Norwegian father and of the French actress Françoise Deldick.

He made his cinematic acting debut at the age of twelve, playing Antoine in the 1994 film Cache cash, directed by Claude Pinoteau. In 1997, he played ""Pierrot"" in Roger Hanin's film Soleil, starring Sophia Loren, Philippe Noiret and Marianne Sägebrecht. In 2004, he played Jean Lupin in Arsène Lupin, starring Romain Duris and Kristin Scott Thomas. In 2005, he appeared in four films, including: À travers la forêt, directed by Jean-Paul Civeyrac, and Tu vas rire, mais je te quitte, directed by Philippe Harel. In 2006, he was in Sans Elle, directed by Jean Beaudin.

He made his directorial debut in 2005 with Rue des vertus.

In 2005, he was in a play entitled L'Autre, directed by Florian Zeller and staged at the famous Théâtre des Mathurins of Paris. He played the role of Clément Sibony. His debut stage role was in a 1994 production of Henri de Montherlant's play La Ville dont le prince est un enfant, at the Théâtre Hébertot of Paris.

Source: Article ""Aurélien Wiik"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1980-09-24,,25342.0,Acting,"Deauville, Calvados, France",0.6953,https://image.tmdb.org/t/p/w500//kCQie180Yry11GcAIWGR6sTYvHK.jpg
nm0928134,James Wilby,1958.0,,"actor,soundtrack,archive_footage","tt0093512,tt0280707,tt0095274,tt0104454","James Wilby (born 20 February 1958) is an English actor, known for Maurice (1987), Gosford Park (2001), Howards End (1992), and A Handful of Dust (1988).",1958-02-20,,42627.0,Acting,"Rangoon, Burma. [now Yangôn, Myanmar]",2.2032,https://image.tmdb.org/t/p/w500//qbsUqnZiG1xBJtPUuaXrVwyeyDa.jpg
nm0928422,Claudine Wilde,1967.0,,actress,"tt0108916,tt0791410,tt0392150,tt0156103",Inconnu,1967-03-15,,234098.0,Acting,"Berlin, Germany",0.8392,https://image.tmdb.org/t/p/w500//1Sm1Bz1tZnk2CKbFv849HY1wQ0C.jpg
nm0928915,Hans Wilhelm,1904.0,1980.0,"writer,actor,producer","tt0040665,tt0043938,tt0056999,tt0020719",Inconnu,1904-10-18,1980-12-23,41010.0,Writing,"Berlin, Germany",1.1567,https://i.ibb.co/x8tKqGZC/No-Image-500-750.png
nm0929075,Catherine Wilkening,1963.0,,"actress,director,writer","tt0097635,tt0097121,tt1606589,tt0349225",Inconnu,1963-07-16,,32946.0,Acting,Inconnu,0.9074,https://image.tmdb.org/t/p/w500//jVHrATav41qzL9gqSYFtmWD6uPz.jpg
nm0930241,Charles Williams,1909.0,1975.0,writer,"tt0097162,tt0063429,tt0099797,tt0058123",Inconnu,1909-08-13,1975-04-07,65432.0,Writing,"San Angelo, Texas, USA",0.903,https://i.ibb.co/x8tKqGZC/No-Image-500-750.png
nm0932787,Suzy Willy,1895.0,1981.0,"actress,archive_footage","tt0046487,tt0048543,tt0054452,tt0154271",Inconnu,,,939995.0,Acting,Inconnu,0.0493,https://i.ibb.co/x8tKqGZC/No-Image-500-750.png
nm0932870,André Wilms,1947.0,2022.0,"actor,soundtrack,archive_footage","tt1508675,tt0105750,tt0100747,tt0109731","André Wilms (April 29, 1947 – February 9, 2022) was a French film and television actor who had also appeared in German and Finnish films. Wilms was the winner of the Best Supporting European Actor award at the 1992 European Film Awards for his work in Aki Kaurismäki's La Vie de Bohème.

Description above from the Wikipedia article André Wilms, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1947-04-29,2022-02-09,20853.0,Acting,"Strasbourg, Bas-Rhin, France",1.6263,https://image.tmdb.org/t/p/w500//7riWokLMFcbA9O781LUrIxMDrGT.jpg
nm0933447,Georges Wilson,1921.0,2010.0,"actor,miscellaneous,director","tt0072281,tt0411272,tt0098609,tt0056197","Georges Wilson (né Willson; 16 October 1921 – 3 February 2010) was a French actor and director of stage and screen. He was a significant figure in French theatre during the latter 20th-century, serving as director of the Theatre National Populaire from 1963 and 1972, while his film work earned him both BAFTA Award and Cesar Award nominations. He was also the father of French actor Lambert Wilson.

Wilson was born in Champigny-sur-Marne, Seine (now Val-de-Marne) as the illegitimate son of a French father and an Irish mother. His professional surname, Wilson, derives from his Irish grandmother; his birthname has not been made public.

He was nominated for a BAFTA Film Award, and also nominated for a César Award. Georges Wilson's last film was Mesrine: Public Enemy Number One.

From 1963 to 1972 Georges Wilson was the director of the Théâtre national de Chaillot (formerly known as the Théâtre National Populaire).

Georges Wilson died in Rambouillet in 2010, aged 88, from undisclosed causes.

Source: Article ""Georges Wilson"" from Wikipedia in English, licensed under CC-BY-SA.",1921-10-16,2010-02-03,7277.0,Acting,"Champigny-sur-Marne, Val-de-Marne, France",1.4191,https://image.tmdb.org/t/p/w500//hifU1QhRKnX44VyrRBHmPldTsRy.jpg
nm0933727,Lambert Wilson,1958.0,,"actor,director,cinematographer","tt0234215,tt0327554,tt0242653,tt0300556","Lambert Wilson (born August 3, 1958) is a French actor, singer, and activist. He is best known internationally for his portrayal of The Merovingian in The Matrix Reloaded, The Matrix Revolutions, and The Matrix Resurrections.",1958-08-03,,2192.0,Acting,"Neuilly-sur-Seine, Hauts-de-Seine, France",3.4837,https://image.tmdb.org/t/p/w500//pFuLPZtgrKsnRXJCKWILQ69k6Ta.jpg
nm0935300,Jean-Marie Winling,1947.0,,"actor,miscellaneous,soundtrack","tt0099334,tt0996605,tt1304873,tt1010363",Inconnu,1947-01-01,,44234.0,Acting,"Sète, Hérault, France",0.822,https://image.tmdb.org/t/p/w500//sDkMLMRmDVlXeKbzRIL9uYyJS0u.jpg
nm0935876,Vincent Winterhalter,,,actor,"tt1304873,tt0099334,tt1101174,tt0352224",Inconnu,1964-06-23,,201889.0,Acting,"Martigues, Bouches-du-Rhone, France",0.8559,https://image.tmdb.org/t/p/w500//mqeBAxZwkZP5NujhfN4MJLVAfy3.jpg
nm0937275,Magali Woch,,,actress,"tt0401445,tt0344273,tt1175490,tt0325030",Inconnu,1981-07-30,,59035.0,Acting,"Paris, France",0.5698,https://image.tmdb.org/t/p/w500//hBuQBq8iaoPwV6855W9vV7WBtu2.jpg
nm0938105,Mariloup Wolfe,1978.0,,"actress,director,writer","tt0401085,tt0340711,tt11134340,tt2388350",Inconnu,1978-01-03,,84588.0,Acting,"Montreal, Quebec, Canada",0.6385,https://image.tmdb.org/t/p/w500//mZdMtNBZoC7jN8EE6HQHQvlQyCp.jpg
nm0939618,Clement Biddle Wood,1925.0,1994.0,"writer,actor","tt0062711,tt0056126,tt0071492,tt0067637",Inconnu,,,1172547.0,Writing,Inconnu,1.2547,https://i.ibb.co/x8tKqGZC/No-Image-500-750.png
nm0944073,Dana Wynter,1931.0,2011.0,"actress,writer,soundtrack","tt0049366,tt0065377,tt0044517,tt0057254","Dana Wynter (8 June 1931 – 5 May 2011) was a German-born British actress, who was brought up in England and Southern Africa. She appeared in film and television for more than forty years beginning in the 1950s, most notably in the original version of Invasion of the Body Snatchers.

Description above from the Wikipedia article Dana Wynter, licensed under CC-BY-SA, full list of contributors on Wikipedia",1931-06-08,2011-05-05,69810.0,Acting,"Berlin, Germany",2.5561,https://image.tmdb.org/t/p/w500//njOUHDQQvzxlXh6qdxJfa6NNUlt.jpg
nm0944091,Hans Wyprächtiger,1929.0,2006.0,"actor,archive_footage","tt0371451,tt0294225,tt0071935,tt0107151",Inconnu,1929-09-29,2006-05-06,146209.0,Acting,"Basel, Switzerland",0.4186,https://image.tmdb.org/t/p/w500//bZPzRu3g8JLz5ioMIx5UaILc7ZV.jpg
nm0945058,Aleksandr Yakovlev,1946.0,2016.0,"actor,producer","tt2182001,tt0120125,tt15137572,tt0197218",Inconnu,1946-01-15,2016-12-19,131210.0,Acting,"Moscow, RSFSR, USSR [now Russia]",0.7099,https://image.tmdb.org/t/p/w500//zk6BS9rtLFkm88uUANopt0vrhe1.jpg
nm0945189,Simon Yam,1955.0,,"actor,producer,director","tt0325703,tt0250638,tt0434008,tt1220719","Simon Yam Tat-Wah (Chinese: 任達華) was born 19 March, 1955, is a veteran Hong Kong-based actor and film producer. He started off as a supermodel before becoming an actor in the mid 1970s. He then signed with the Hong Kong television network TVB, starring and co-starring in a number of television series prior to ""apply his trades"" in the film industry in 1987. His elder brother is Yam Tak-wing, a retired former Deputy Commissioner of Hong Kong Police

In 1989, he starred in the Japanese-Hong Kong co-production of Fainaru Faito - Saigo no Ichigeki (1989). This was the first of its kind in which English was spoken throughout the entire film. In 1992, Yam gained critical acclaim for his role as the maniacal Judge in the crime film Hap do Ko Fei (1992), where he faced off in a bloody battle against Chow Yun-Fat's character. In 1993, he starred as ""Dhalsim"" in the action-comedy film Chiu Kap Hok Hau Ba Wong (1993), a parody of Street Fighter directed by Jing Wong. In 1996, Yam began his role as Chiang Tin-Sung, the leader of the Hung Hing triads in the first three installments of the Goo Wak Chai: Yan Joi Gong Woo (1996) film series.

In 2000, Yam starred as Cheung-sun, the progenitor of all vampires, in the television series Ngo Wo Geun See Yau Gor Yue Wui II (2000), produced by ATV. In 2003, Yam made his Hollywood film debut in Tomb Raider 2: The Cradle of Life (2003) as Shaolin crime lord.

Yam received international acclaim for his performances in international film festival hits and box offices such as Chik Loh Goh Yeung (1992), Saat Po Long (2005), Hak Se Wooi (2005), Hak Se Wui: Yi Woo Wai Kwai (2006), Fong Juk (2006), Tomb Raider 2: The Cradle of Life (2003), Dodookdeul (2012).

In 2019 in the city of Zhongshan, during a China promotional event, Simon Yam was assaulted by an attacker who stabbed him in the chest and slashed his arms. The security guards arrested the attacker and Simon Yam was taken to the hospital until he made a full recovery.",1955-03-19,,20519.0,Acting,"Hong Kong, China",3.5679,https://image.tmdb.org/t/p/w500//5Jss5TaxVWofhD5UYaVmPTw7vl.jpg
nm0946179,Jean Yanne,1933.0,2003.0,"actor,writer,music_department","tt0069397,tt0062480,tt0237534,tt0104507","Jean Yanne (born Jean Roger Gouyé; 18 July 1933 – 23 May 2003) was a French actor, screenwriter, producer, director and composer.

During his career, he won a Cannes Film Festival Award for his leading role in We Won't Grow Old Together (1972) and received a César Award nomination for his supporting role in Indochine (1992).

From Wikipedia, the free encyclopedia",1933-07-18,2003-05-23,24381.0,Acting,"Les Lilas, Seine, France",2.2441,https://image.tmdb.org/t/p/w500//nZAsOM0mtE0oHHj9DlbH94SxtAI.jpg
nm0946928,Aylin Yay,1968.0,,actress,"tt0262826,tt0456051,tt1050333,tt4792480",Inconnu,,,87693.0,Acting,Inconnu,0.4077,https://image.tmdb.org/t/p/w500//dgwkgqstJPDKe0bsJZcXPrm7MvW.jpg
nm0947611,Bernard Yerlès,1961.0,,"actor,producer","tt0202454,tt0172053,tt0457730,tt0107778",Inconnu,1961-01-17,,235095.0,Acting,"Etterbeek, Brussels, Belgium",0.3258,https://image.tmdb.org/t/p/w500//AuD0gZhhmVnBw0ovtnSYEYItycw.jpg
nm0948636,Wladimir Yordanoff,1954.0,2020.0,"actor,archive_footage","tt0283900,tt1661420,tt0100873,tt0093765","Wladimir Yordanoff (28 March 1954 – 6 October 2020) was a French actor of Bulgarian origin. He has appeared in more than sixty films since 1979.

Yordanoff died on 6 October 2020, aged 66.

Source: Article ""Wladimir Yordanoff"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1954-03-28,2020-10-06,64541.0,Acting,"Chatou, France",0.9849,https://image.tmdb.org/t/p/w500//y5v8SwrgXxyjzYFnfs1Evv1llfl.jpg
nm0949210,Michaël Youn,1973.0,,"actor,writer,director","tt9303772,tt0327437,tt20601908,tt1911553","Michaël Benayoun (born 1973), known professionally as Michaël Youn, is a French actor, singer, comedian and television personality.

Youn was born Michaël Benayoun in Suresnes, France, to a family of Hungarian, Italian, Moroccan-Jewish, and Algerian-Jewish descent.

After his education as an announcer and theater actor, Youn joined the Paris radio station Skyrock in 1998. There, he made sketches and further entertainment during the morning show.

The popularity and success of Michael Youn, at the most important French private broadcast station brought Youn to the attention of French TV executives. In July 2000, he was hired for the new morning show ""Morning Live"" shown on Métropole 6. With Vincent Desagnat and Benjamin Morgaine, Youn did the entertainment part of the show. Like their sketches and public events (e.g. foam bath in a Paris fountain, and waking random Parisians up shooting the slogan of the show at them), their parodies were particularly successful. In particular, they parodied the music scene of Jean-Michel Jarre, casting-popstars, the Grand Prix and French rappers.

The success of ""Morning Live"" was mainly due to Youn and his colleagues – when they left the show, it remained on the air for just one more year.

After leaving ""Morning Live"" in 2002, Youn, Desagnat and Morgaine have focused on their music parodies: The three sailors ""Piotr"", ""Olaff"" and ""Dvorjak"" from the Eastern European ""Slowakistan"", the Bratisla Boys, appeared on the Western music market with their song ""Stach Stach"". The act became a big success and was number one on the French charts for ten weeks. On a 2004 list of the all-time best selling CDs in France, ""Stach Stach"" was listed number 30. The success even spread beyond the French border and reached Switzerland, where it was 2nd on the official charts. On 7 July 2002, the project was stopped by its makers. They claimed that the Bratisla Boys had vanished on the Dead Sea without a trace.

In 2003, the film ""La Beuze"", written by Youn and Desagnat, was released. Youn played the character of Alphonse, the ""unknown son"" of James Brown, who tries to start his own career – by creating a new (fictional) style called ""Frunkp"" (a mixture of funk and rap). The song ""Le Frunkp"" was published as a CD-single and Michaël Youn (under the name of Alphonse Brown) had another hit. This time, he even reached #1 in Swiss charts.

Youn had a comedy-tour, called Pluskapoil in 2003/04 (its sequel followed in 2005) and has acted in films. New music projects followed: Les Conards (The Imbeciles) with Comme des Connards, a cover version of My Sharona by The Knack, as well as a song for the movie Iznogoud (both were in the French Top 20). He had small roles in rather big films, and was part of Les 11 commandements in 2004 (A French film done in the style of MTV's Jackass, together with Desagnat and Morgaine).

In 2005, Youn was Iznogoud in the film version of the comic ""Iznogoud"" (also known as Isnogud). In 2006, he had the main role in the film comedy Incontrôlable. Those two films were not very successful, critics and viewers finding them only so-so. Both films starred Desagnat and Morgaine, but only in small roles.

In 2010, he directed his first movie ""Fatal"" in which he also stars. ...

Source: Article ""Michaël Youn"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1973-12-02,,82304.0,Acting,"Suresnes, Hauts-de-Seine, France",1.7363,https://image.tmdb.org/t/p/w500//zSicg5cNaIUXZwkmFQReWy3U5Mf.jpg
nm0951456,Zabou Breitman,1959.0,,"actress,director,writer","tt0259440,tt7534102,tt0087903,tt3600588","Zabou Breitman (born Isabelle Breitman; 30 October 1959), or simply Zabou, is a French actress and director. She is the daughter of actors Jean-Claude Deret and Céline Léger. At the age of four, she appeared in her first movie. Since 1981, Zabou has acted in dozens of roles in films, TV movies, and theaters. She made her directoral debut in 2001 with Se souvenir des belles choses, for which she won a César Award for Best Debut. In 2012, she participated in Rendez-vous en terre inconnue.

Zabou has two children with the sculptor Fabien Chalon: Anna (1990) and Antonin (1993).

Source: Article ""Zabou Breitman"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1959-10-30,,54675.0,Acting,"Paris, France",1.6694,https://image.tmdb.org/t/p/w500//tPHpgD3ssDrHt6VgcajH2pD61cv.jpg
nm0951520,Jonathan Zaccaï,1970.0,,"actor,director,writer","tt1226334,tt0955308,tt4063800,tt11703710","Jonathan Zaccaï (born 22 July 1970) is a Belgian actor, film director and screenwriter. He is the nephew of René Kalisky.

His acting credits include The Beat That My Heart Skipped, A Distant Neighborhood, The True Story of My Life in Rouen, The Role of Her Life, They Came Back. He received the Magritte Award for Best Actor for Private Lessons.",1970-07-22,,17499.0,Acting,"Brussels, Belgium",1.6401,https://image.tmdb.org/t/p/w500//2t0yMSRcL9B2aI1wMknL9TmKENS.jpg
nm0951578,Ann Zacharias,1956.0,,"actress,director,writer","tt0094128,tt0207479,tt0074103,tt0080747","Anne Zezette Zacharias Taube is a Swedish stagen and screen actress, writer and director.",1956-09-19,,11215.0,Acting," Stockholm, Stockholms län, Sweden",1.2373,https://image.tmdb.org/t/p/w500//r4L22DKDtrawBCl19Oz1K1YDBho.jpg
nm0951976,Abbes Zahmani,,,actor,"tt0473829,tt1503096,tt1321865,tt4216902",Inconnu,1961-06-18,,145230.0,Acting,Inconnu,0.5864,https://image.tmdb.org/t/p/w500//hMhnkowqeIXu1De3pjIvAIFlorY.jpg
nm0952498,Zbigniew Zamachowski,1961.0,,"actor,composer,music_department","tt0111507,tt0108394,tt0111495,tt0228750","Zbigniew Zamachowski (Polish pronunciation: [ˈzbiɡɲɛv zamaˈxɔfskʲi]; born 17 July 1961) is a Polish actor.  Zamachowski graduated from the actor's faculty of the National Film School in Łódź. He began his acting career in 1981 and in 1989 had a co-starring role in Part Ten of director Krzysztof Kieślowski's film series, Dekalog. Four years later, Kieślowski cast him as the lead character, ""Karol Karol"", in Three Colors: White, the second of his acclaimed Three Colors trilogy. He is a two-time winner of Polish Film Awards for his roles in Robert Gliński's film Hi, Tereska (2001) and Andrzej Jakimowski's film drama Zmróż oczy (2004). His other notable roles are featured in Kazimierz Kutz's film Colonel Kwiatkowski (1996), Jerzy Hoffman's historical film With Fire and Sword (1999) and Andrzej Wajda's biopic Walesa: Man of Hope (2013).[3]

Between 1985 and 1997, he performed at The Studio Theater, and since 1997 he has been an actor at the National Theater in Warsaw.",1961-07-17,,1145.0,Acting,"Brzeziny, Poland",1.8492,https://image.tmdb.org/t/p/w500//mLntjL4Jp1LEz41NgcrHlsB7OmB.jpg
nm0953706,Yolande Zauberman,1955.0,,"writer,director,producer","tt8828434,tt0107588,tt0176612,tt1995494",Inconnu,,,146775.0,Writing,Inconnu,0.0071,https://i.ibb.co/x8tKqGZC/No-Image-500-750.png
nm0953790,Cesare Zavattini,1902.0,1989.0,"writer,miscellaneous,director","tt0040522,tt0045274,tt0040018,tt0114887",Inconnu,1902-09-20,1989-10-13,12330.0,Writing,"Luzzara, Italy",1.8672,https://image.tmdb.org/t/p/w500//Aw33b61PnxQLqZJ8vXT7IIRY3bW.jpg
nm0954072,Edward Zebrowski,1935.0,2014.0,"writer,director,actor","tt0079979,tt0070466,tt0083309,tt0108394","Director, screenwriter, and actor.",1935-07-26,2014-02-13,1287141.0,Writing,"Warsaw, Poland",0.3712,https://image.tmdb.org/t/p/w500//gskFRX1pmhGIj5v0roXtWHwpa1C.jpg
nm0954238,Mourade Zeguendi,1980.0,,actor,"tt0804540,tt2327453,tt1130988,tt1033917",Inconnu,,,24042.0,Acting,Inconnu,0.863,https://image.tmdb.org/t/p/w500//i7UVWA9yfQFzvqtkNbeWqQkejGW.jpg
nm0954704,Roschdy Zem,1965.0,,"actor,director,writer","tt1366365,tt4400038,tt0498118,tt1710590","Roschdy Zem (born 27 September 1965) is a French actor and filmmaker.

Description above from the Wikipedia article Roschdy Zem, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1965-09-27,,20442.0,Acting,"Gennevilliers, Hauts-de-Seine, France",2.4683,https://image.tmdb.org/t/p/w500//9SUbcnRYvp1Bs1pyiaVK4GWuZgT.jpg
nm0954907,Fabio Zenoni,,,actor,"tt0281364,tt0169504,tt0857347,tt0235606",Inconnu,1970-10-04,,21668.0,Acting,"Louvain, Belgium",0.7263,https://image.tmdb.org/t/p/w500//f0OSZyEZZbcChQh0CFoEmg5m4O9.jpg
nm0956022,Claude Zidi,1934.0,,"writer,director,camera_department","tt0088002,tt0111503,tt0133385,tt0095008","Claude Zidi (born 25 July 1934) is a French film director and screenwriter who is noted for his mainstream burlesque comedies. Born in Paris, he started as a cameraman and then a cinematographer, and he made his directorial and screenwriting debut in 1971. He won the César Award for Best Director for My New Partner, for which he was also nominated for Best Writing.

Source: Article ""Claude Zidi"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1934-07-25,,11201.0,Directing,"Paris, France",1.842,https://image.tmdb.org/t/p/w500//nPfbkPRWboCwSw352VKPtHUTwaR.jpg
nm0956026,Malik Zidi,1975.0,,actor,"tt6341832,tt0814656,tt1928329,tt0327369","Malik Zidi was born in Châtenay-Malabry to a Kabyle Algerian father and a Breton mother. He spent his formative years in Saint-Maur-des-Fossés, a suburb of Paris. Zidi abandoned his conventional studies early to concentrate on a career in comedy. Following courses at the Théâtre Véronique Nordey, and the Théâtre de Proposition in Paris, he briefly studied acrobatics and mime at the Théâtre de la Piscine and cinema at the Studio Pygmalion. Zidi made his first film appearance in the 1998 Sébastien Lifshitz-directed Les Corps ouverts.

In 2000, Zidi was chosen by director François Ozon to appear as the troubled, lovelorn, bisexual youth Franz in the Teddy Award-winning film Water Drops on Burning Rocks (French:Gouttes d'eau sur pierres brûlantes). The film was based on the play Tropfen auf heisse Steine by German film director and screenwriter Rainer Werner Fassbinder. The film is a four-part comedy-drama shot entirely on one set and featuring only four actors: Zidi, Bernard Giraudeau, Ludivine Sagnier and American actress Anna Levine. Zidi's role in Water Drops on Burning Rocks garnered him his first of four César Award nominations.

Malik Zidi followed up with roles in the 2002 Antoine Santana-directed Un moment de bonheur (English: One Moment of Happiness) opposite Isild Le Besco, earning his second César Award nomination for Most Promising Actor. In 2004, he appeared in the André Téchiné-directed romantic drama Les Temps qui changent (English release title: Changing Times) as Sami, the bisexual son of Cécile (portrayed by Catherine Deneuve), who visits his parents in Tangiers so that he may visit his Moroccan boyfriend. The film also starred actor Gérard Depardieu and was nominated for a Satellite Award. Zidi received his third César Award nomination.

In 2006, Zidi appeared in the Emmanuel Bourdieu-drama Les Amitiés maléfiques (English release title: Poison Friends). The film was showcased at the Cannes Film Festival and Bourdieu received the Critics Week Grand Prize and the Grand Golden Rail. The film also won the SACD Screenwriting Award and Zidi was once again nominated for a César Award, winning the Award for Most Promising Actor 2007.

In addition to film, Zidi has appeared in numerous television roles.

In 2020, Zidi penned his first novel L'ombre du soir, which was published by Éditions Anne Carrière.",1975-02-14,,72428.0,Acting,"Saint Maur des Fossés, France",1.4253,https://image.tmdb.org/t/p/w500//pn4QUm8KfBJFu8xDteJnWH9yK0J.jpg
nm0956943,Mohamed Zinet,1932.0,1995.0,"actor,director,writer","tt0281256,tt0856239,tt0076348,tt0284919","Mohamed Zinet (Arabic: محمد زينت) is an Algerian actor and director, born January 16, 1932 in the Casbah of Algiers in Algeria, and died April 10, 1995 in Bondy in France.

Born in 1932 in Algiers, Mohamed Zinet developed a passion for theater at a very young age. He led an amateur troupe called El-Manar El-Djazairi (The Algerian Flambeau) and in 1947, in Paris, he presented an adaptation of Bourgeois Gentilhomme by Molière in the Wagram room.

Officer of the National Liberation Army (ALN) during the war of independence, he was seriously injured during a mission, then transported to Tunis where the artistic troupe of the National Liberation Front (FLN) was created which constituted the core of the future Algerian National Theater. During his stay in Tunis, he played the role of Lakhdar in Le Cadavre Encerclé by Kateb Yacine, directed by Jean-Marie Serreau.

After a first internship in 1959 at the Berliner Ensemble in the GDR, Mohammed Zinet did a second at the Kammerspiele in Munich in 1961. The following year, he stayed in Paris where he was hired by Jean-Marie Serreau for the Scandinavian tour of Les Bonnes de Jean Genet and Amédée or How to Get Rid of It by Eugène Ionesco.

Returning to Algiers in 1964, he participated in the creation of the company Casbah Films with Yacef Saâdi and was an assistant on Les Mains Libres by Ennio Lorenzini (1964) and La Bataille d'Algiers by Gillo Pontecorvo (1966). He was also in demand as an actor in Monangambée by Sarah Maldoror (1968) and Les Trois Cousins ​​as well as Les Ajoncs by René Vautier (1970).

Finally, he is the author of an unpublished play entitled Tibelkachoutine (The Man With Twigs) in Berber, created in 1953, testifying to his great admiration for Charlie Chaplin and silent cinema. A play presented in Tunisia, which he planned to adapt for the cinema but the film will never see the light of day.

Made in 1971, Tahya Ya Didou! is the only feature film by director Mohamed Zinet. In this film, he presents his vision of independent Algeria with realism and poetry by discovering the Casbah and white Algiers, pearl of the Mediterranean in a poetic dialogue told by his friend, the poet Himoud Brahimi. The result, an unclassifiable comedy, full of life and fantasy, freshness and poetry, which gradually became cult for film buffs, which was not initially to the taste of the sponsors of the municipality of Algiers who were expecting a documentary. tourism in the capital. Result, Tahya Ya Didou! never had a real release. The film, of which a film copy was eventually found, was restored and digitized in 2016.

Subsequently, throughout the 1970s, Mohamed Zinet played among others in Le Bougnoul by Daniel Moosmann (1974), Dupont Lajoie by Yves Boisset (1974), La Vie Devant Soi by Moshe Mizrahi (1977), Robert et Robert by Claude Lelouch (1978), Le Coup De Sirocco by Alexandre Arcady (1979), etc.

Mohamed Zinet died on April 10, 1995 in Bondy (Paris region), after several years of hospitalization, Mohamed Zinet is buried in the El-Kettar cemetery in Algiers.",1932-01-16,1995-04-10,929339.0,Acting,"Alger, Algérie",1.0222,https://image.tmdb.org/t/p/w500//1zbSOuOYT9lBPlN2ZNihEtgU9wV.jpg
nm0956956,Luca Zingaretti,1961.0,,"actor,producer,director","tt0448197,tt0266543,tt0920489,tt3552638","Luca Zingaretti was born on November 11, 1961 in Rome, Lazio, Italy. He is an actor and director, known for Inspector Montalbano (1999), Come Into the Light (2005) and La nostra vita (2010). He has been married to Luisa Ranieri since May 23, 2012. They have two daughters, Emma (born July 9 2011) & Bianca (bornJuly 27 2015).",1961-11-11,,72246.0,Acting,Rome - Italy,1.505,https://image.tmdb.org/t/p/w500//yHvitzNxavhVt6uK0Vf4ktZDAhh.jpg
